iter	Accuracy	Logloss
0	0.710825	0.666472187
1	0.730725	0.6437903108
2	0.743425	0.6225749415
3	0.75365	0.6040730533
4	0.759525	0.5894610762
5	0.7653	0.5764625262
6	0.769075	0.56563725
7	0.77295	0.5551256657
8	0.773975	0.5469956521
9	0.77615	0.5389470472
10	0.780075	0.5310316066
11	0.7809	0.5233657806
12	0.783525	0.5173031533
13	0.7849	0.5109192124
14	0.7884	0.5054710906
15	0.789	0.5001592171
16	0.791075	0.494829811
17	0.79255	0.4904065279
18	0.7934	0.485959673
19	0.795625	0.4822951321
20	0.7956	0.4781539718
21	0.7963	0.4749028507
22	0.79725	0.4717345409
23	0.799125	0.4687398886
24	0.7998	0.4659010696
25	0.80005	0.4631258305
26	0.80085	0.4607397602
27	0.802575	0.4582970757
28	0.8032	0.4558180946
29	0.80475	0.4536451348
30	0.80615	0.4514905743
31	0.8067	0.4493812771
32	0.80745	0.4474768015
33	0.8081	0.4454592792
34	0.8092	0.4433610389
35	0.81075	0.4413236561
36	0.81085	0.4394482183
37	0.812	0.4376001129
38	0.81225	0.4358926061
39	0.81315	0.4342638152
40	0.81355	0.4328292159
41	0.8154	0.4313191569
42	0.815525	0.4298316533
43	0.81645	0.4283463882
44	0.816575	0.4268156831
45	0.817425	0.4251962148
46	0.818175	0.4238536151
47	0.8183	0.4226478574
48	0.819425	0.4211505513
49	0.820075	0.4197172311
50	0.82055	0.4185016907
51	0.821175	0.4172455834
52	0.821475	0.4161882069
53	0.8222	0.4149835958
54	0.8232	0.4136360692
55	0.823625	0.4125154355
56	0.82365	0.4114787132
57	0.823975	0.4105186723
58	0.824425	0.4094238771
59	0.82495	0.4084216382
60	0.826025	0.4074121157
61	0.826125	0.4064151794
62	0.8267	0.4054231049
63	0.82715	0.4045047515
64	0.82765	0.4035543796
65	0.82765	0.4025496892
66	0.8284	0.4015283524
67	0.828375	0.4006088281
68	0.8288	0.3996810214
69	0.8299	0.3988750413
70	0.830275	0.3980673438
71	0.83115	0.3973016422
72	0.830975	0.3964254159
73	0.83125	0.3956115884
74	0.8319	0.3947962269
75	0.832225	0.3939484214
76	0.8328	0.3932233374
77	0.833175	0.3924976213
78	0.833325	0.3918271923
79	0.834275	0.3911235296
80	0.8345	0.3904533594
81	0.83485	0.3896597905
82	0.83475	0.3889808924
83	0.8356	0.3882641956
84	0.835625	0.3875230231
85	0.835675	0.3867739663
86	0.8364	0.3860531226
87	0.837275	0.3853278245
88	0.8372	0.3844936205
89	0.8373	0.3838139792
90	0.837975	0.3831647822
91	0.83825	0.3823618365
92	0.8385	0.3816682318
93	0.83895	0.3809380906
94	0.839225	0.3802878131
95	0.839125	0.3795979599
96	0.8395	0.3790493695
97	0.840025	0.3783184362
98	0.8407	0.3775478672
99	0.8405	0.3767738527
100	0.840525	0.3762085215
101	0.84075	0.3755358351
102	0.841625	0.3748468168
103	0.841625	0.3741135016
104	0.8423	0.3734178784
105	0.842575	0.3728170735
106	0.843075	0.372208014
107	0.843675	0.3715195105
108	0.844175	0.3708639796
109	0.8443	0.370230911
110	0.8446	0.3695592406
111	0.84485	0.3688870205
112	0.8453	0.3682077165
113	0.8453	0.3675999866
114	0.845925	0.3669680756
115	0.8462	0.3663548688
116	0.8465	0.3656981524
117	0.8467	0.3650310899
118	0.847475	0.3643568541
119	0.8478	0.3636881543
120	0.84835	0.363109204
121	0.84875	0.3624638182
122	0.848775	0.3618994596
123	0.849225	0.3612719939
124	0.84895	0.3605993759
125	0.849325	0.3599655964
126	0.849725	0.3593500611
127	0.85035	0.3586539955
128	0.8507	0.3579798176
129	0.850675	0.3573412048
130	0.8508	0.356665349
131	0.851675	0.3560075801
132	0.85185	0.3553813538
133	0.852475	0.354805825
134	0.8527	0.3541827436
135	0.852725	0.353588793
136	0.85345	0.3530424362
137	0.853675	0.352384377
138	0.853725	0.3517150367
139	0.854175	0.3511101168
140	0.85465	0.3505991228
141	0.8547	0.3500656175
142	0.8554	0.3494555505
143	0.8553	0.3488783913
144	0.85575	0.3483145843
145	0.856075	0.3477117302
146	0.85605	0.3471150706
147	0.8568	0.346538471
148	0.857325	0.3459749338
149	0.85765	0.3454114497
150	0.858025	0.3448455849
151	0.858025	0.3442834266
152	0.8583	0.3437155352
153	0.858475	0.3431783864
154	0.859125	0.3426220115
155	0.8595	0.3420666392
156	0.86005	0.341521959
157	0.860475	0.3410303064
158	0.860425	0.3405014971
159	0.8606	0.3399577711
160	0.86075	0.3393913751
161	0.86165	0.3388281148
162	0.86185	0.3382976508
163	0.862275	0.3377902747
164	0.8624	0.3372390173
165	0.8628	0.336718292
166	0.8633	0.3362466219
167	0.8633	0.3357333264
168	0.86355	0.3352322277
169	0.86405	0.3347060768
170	0.864275	0.334209548
171	0.8646	0.3336785184
172	0.864975	0.3331048797
173	0.864975	0.3325767194
174	0.865675	0.3320854738
175	0.8658	0.331643028
176	0.8658	0.3311670065
177	0.866325	0.3306495908
178	0.866875	0.3301526814
179	0.867375	0.3296554167
180	0.86745	0.3292038822
181	0.867625	0.3286977223
182	0.8676	0.3281965522
183	0.867925	0.3277511578
184	0.868025	0.3273532658
185	0.868225	0.3268548184
186	0.868575	0.3263814693
187	0.869	0.3259301508
188	0.86875	0.3254493452
189	0.869075	0.3249643525
190	0.869125	0.3244467633
191	0.8697	0.3239680684
192	0.869775	0.3234878375
193	0.86995	0.3230061778
194	0.870125	0.3225389722
195	0.87075	0.3220647752
196	0.870925	0.3215574135
197	0.871175	0.3210927594
198	0.871275	0.3206752328
199	0.871725	0.3202026568
200	0.872	0.3197491804
201	0.871975	0.3192912394
202	0.872175	0.3188601703
203	0.8727	0.3184142803
204	0.87305	0.3180262317
205	0.87295	0.3175847428
206	0.873525	0.3171021885
207	0.873725	0.3166649216
208	0.8741	0.3162301291
209	0.874175	0.3158321646
210	0.87425	0.3153573359
211	0.8746	0.314886016
212	0.874975	0.3144325225
213	0.87525	0.3139717305
214	0.8754	0.3135291113
215	0.875825	0.3130958964
216	0.875925	0.3126632349
217	0.87635	0.3122329593
218	0.876875	0.3118065129
219	0.87675	0.3113818549
220	0.87695	0.3109394577
221	0.87725	0.3105243679
222	0.877475	0.31010818
223	0.877825	0.3096940559
224	0.8779	0.3092344037
225	0.878475	0.3087739851
226	0.878925	0.3083871904
227	0.879275	0.3079648331
228	0.879375	0.307555632
229	0.8797	0.3071702156
230	0.87995	0.3067498107
231	0.8799	0.306282567
232	0.880425	0.305841429
233	0.88045	0.3054424672
234	0.88075	0.3050708903
235	0.88135	0.3046744458
236	0.88165	0.3042697325
237	0.881525	0.3038985861
238	0.881825	0.3034707484
239	0.88225	0.3030698749
240	0.882275	0.3026228774
241	0.88265	0.3022128774
242	0.882875	0.301796106
243	0.883175	0.3014184533
244	0.883125	0.3010422369
245	0.88365	0.3006414777
246	0.8838	0.3002574341
247	0.883975	0.2998682332
248	0.88435	0.299464018
249	0.8845	0.29912562
250	0.884475	0.2987836904
251	0.8844	0.2984067074
252	0.8846	0.2980293959
253	0.885075	0.2976795705
254	0.8853	0.2973296589
255	0.88555	0.296936637
256	0.885625	0.2965540164
257	0.88575	0.296238623
258	0.886	0.2958571176
259	0.88635	0.2954842553
260	0.886625	0.2951145736
261	0.886625	0.2947344776
262	0.886825	0.2943447534
263	0.8869	0.2939730587
264	0.8872	0.2935485251
265	0.88755	0.2931512079
266	0.88745	0.2927840603
267	0.8879	0.2923762779
268	0.888275	0.2920144524
269	0.88845	0.2917323742
270	0.888425	0.291366311
271	0.888475	0.2909934153
272	0.888725	0.2906081117
273	0.88915	0.2902475718
274	0.88905	0.2898396107
275	0.889525	0.2894939789
276	0.889725	0.2891251588
277	0.89	0.2887417496
278	0.890075	0.2883420542
279	0.8902	0.2879603089
280	0.8905	0.28766577
281	0.89065	0.2873088076
282	0.8909	0.2868964575
283	0.89125	0.2865060576
284	0.8916	0.286166332
285	0.8921	0.2857872933
286	0.892375	0.2854252253
287	0.8925	0.2850454066
288	0.892625	0.2847021304
289	0.89305	0.2843784279
290	0.893	0.2840133063
291	0.893125	0.2836583183
292	0.893375	0.2832984946
293	0.8936	0.2829408631
294	0.893875	0.2825718472
295	0.8944	0.2822364386
296	0.89445	0.2818900435
297	0.894825	0.2814820396
298	0.8949	0.2811031112
299	0.895175	0.280744078
300	0.895425	0.2803539784
301	0.8959	0.2800118853
302	0.895975	0.2796659959
303	0.8964	0.2792989007
304	0.8968	0.2790219544
305	0.897	0.2786551392
306	0.897325	0.2783118795
307	0.897425	0.2780092022
308	0.897675	0.2777381145
309	0.897825	0.2773786858
310	0.8977	0.2769878433
311	0.8976	0.2766299818
312	0.89795	0.2763472185
313	0.898025	0.2760103197
314	0.89815	0.2757193581
315	0.89825	0.2753722157
316	0.8984	0.2750796921
317	0.898575	0.2747542489
318	0.8985	0.2744447502
319	0.89885	0.2741023796
320	0.898975	0.2738120184
321	0.89925	0.2734635281
322	0.899475	0.2731038345
323	0.89965	0.2727295348
324	0.8999	0.2724199157
325	0.90015	0.2721003161
326	0.90005	0.2717824588
327	0.900225	0.2714310826
328	0.9006	0.2711074735
329	0.90065	0.2707648305
330	0.900975	0.2704710142
331	0.901175	0.2701284134
332	0.9016	0.2698596318
333	0.901775	0.2694975439
334	0.902	0.269191978
335	0.902475	0.2688555667
336	0.902375	0.2685141531
337	0.902725	0.2681384037
338	0.90275	0.2678416302
339	0.90285	0.2675411121
340	0.903225	0.2672125209
341	0.9032	0.2669490355
342	0.9035	0.2666142047
343	0.9037	0.2663333867
344	0.903725	0.2660343824
345	0.90405	0.265780617
346	0.90405	0.2654530038
347	0.9041	0.2651725752
348	0.9047	0.2648697109
349	0.90465	0.2645711913
350	0.9046	0.2642606316
351	0.9049	0.2639432166
352	0.905025	0.2636012228
353	0.90535	0.2632753356
354	0.9053	0.2630450407
355	0.905525	0.2627735262
356	0.9055	0.262446248
357	0.905775	0.2621213293
358	0.9059	0.2618177762
359	0.906	0.2614884125
360	0.906275	0.2611794592
361	0.90675	0.2608825784
362	0.907125	0.260583942
363	0.9076	0.2602525892
364	0.9076	0.2599588057
365	0.907725	0.2596455727
366	0.907575	0.2593828294
367	0.907675	0.2590629511
368	0.90795	0.2587436126
369	0.908075	0.2584988774
370	0.908475	0.2581400264
371	0.908675	0.2578182081
372	0.9087	0.2574873504
373	0.9089	0.2571559642
374	0.90915	0.2568611026
375	0.909525	0.2565569752
376	0.90985	0.2562498914
377	0.91015	0.2559128195
378	0.910475	0.2555992286
379	0.91065	0.2552666786
380	0.910725	0.2549166947
381	0.910925	0.2546113551
382	0.910925	0.2544044478
383	0.91125	0.2541247506
384	0.911175	0.2538625048
385	0.911475	0.2536491879
386	0.9115	0.2533690119
387	0.911825	0.2530744609
388	0.912075	0.2527571632
389	0.91225	0.2524937499
390	0.912425	0.2522011674
391	0.91245	0.2518808935
392	0.912275	0.2516034927
393	0.912525	0.2513175453
394	0.912775	0.2510024787
395	0.9131	0.2506809042
396	0.913375	0.2503842402
397	0.913675	0.2500979742
398	0.913725	0.2497700234
399	0.913875	0.2494718174
400	0.914125	0.2491605297
401	0.914325	0.2488604012
402	0.914425	0.2486415217
403	0.914625	0.24832505
404	0.9146	0.2480747523
405	0.91485	0.247760238
406	0.914975	0.2474633992
407	0.91515	0.2471405339
408	0.915225	0.2468624324
409	0.915525	0.2465976504
410	0.9156	0.2463074009
411	0.91565	0.246063087
412	0.9157	0.2457566365
413	0.916	0.2455187939
414	0.91635	0.2452336334
415	0.916625	0.2449541275
416	0.91675	0.2447177269
417	0.91685	0.2444618823
418	0.917225	0.2441665232
419	0.917525	0.2438896629
420	0.91765	0.2436283413
421	0.917825	0.2433892472
422	0.917875	0.2431135413
423	0.918075	0.2428073374
424	0.918325	0.2425288557
425	0.918525	0.242310501
426	0.91855	0.2419970845
427	0.9188	0.241746033
428	0.918975	0.2414530798
429	0.9193	0.2411393544
430	0.919475	0.2408875665
431	0.919775	0.2405762351
432	0.91975	0.240339418
433	0.92005	0.240028718
434	0.920225	0.2397521227
435	0.920225	0.2394636324
436	0.920375	0.2391675197
437	0.9204	0.2389056815
438	0.92045	0.2386320577
439	0.920625	0.2383467051
440	0.920925	0.2380836563
441	0.9207	0.237810306
442	0.920875	0.2375590844
443	0.921	0.2373534522
444	0.9213	0.2370788507
445	0.921525	0.2368224404
446	0.92175	0.2366146466
447	0.9217	0.2363567985
448	0.921775	0.2361307745
449	0.92195	0.2359085691
450	0.92215	0.2356865164
451	0.92235	0.23539068
452	0.92265	0.2351179906
453	0.922825	0.2348552059
454	0.9229	0.2345833481
455	0.92295	0.2343304092
456	0.9231	0.234060898
457	0.9231	0.2338255856
458	0.92345	0.2335665118
459	0.923975	0.2333116221
460	0.9241	0.2330840185
461	0.924425	0.2328319671
462	0.9244	0.2325871414
463	0.9244	0.2323350006
464	0.92435	0.2320812861
465	0.9247	0.2318516315
466	0.925125	0.2316177224
467	0.925125	0.2313306865
468	0.925325	0.2310528438
469	0.92565	0.2308081233
470	0.925675	0.2305368385
471	0.925725	0.2302991972
472	0.925575	0.2300725302
473	0.925825	0.229841822
474	0.9259	0.2296373547
475	0.925975	0.2293776997
476	0.926325	0.2291294683
477	0.92655	0.2288621087
478	0.926825	0.2286221166
479	0.92685	0.2283675489
480	0.926975	0.2281538096
481	0.9272	0.2279130145
482	0.92765	0.2276489001
483	0.92795	0.2273820656
484	0.927875	0.2271351425
485	0.92815	0.2269168846
486	0.92805	0.2266954536
487	0.928075	0.2264281885
488	0.928175	0.2261724368
489	0.928325	0.2259125529
490	0.9287	0.2256483
491	0.928725	0.2253714751
492	0.929	0.2251480441
493	0.92915	0.2248961697
494	0.929225	0.2246489372
495	0.929225	0.2244172705
496	0.929125	0.2241996837
497	0.9295	0.2239534798
498	0.9298	0.2236930164
499	0.929725	0.223486721
